danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.654,0.898,-5.964,0.0413,0.0844,0.0347,0.316,0.722,123.996,5u8Y0lAUlBLwuhpXSDUGf4,141932,2
0.552,0.651,-5.114,0.182,0.0265,0.0,0.159,0.372,119.398,1oIzxvT61wXOtHjcL4Sybm,165461,5
0.646,0.746,-6.493,0.0627,0.53,0.0,0.37,0.645,139.919,6HcOcRvdSTRlEzcRVIMdEX,104913,2
0.781,0.711,-5.398,0.0581,0.598,7.72e-06,0.251,0.767,116.004,1pKwwH7xRmxyeBiGX3n2RX,211827,2
0.714,0.455,-8.947,0.0713,0.863,0.0,0.114,0.705,133.857,6gEIrGMmiCYiyRRXSbrfuS,196807,1
0.495,0.894,-4.814,0.0441,0.00453,0.000596,0.103,0.213,126.03,5TbzAWWc5eJaANpA9kfGCd,239894,5
0.73,0.909,-5.904,0.138,0.123,0.0,0.123,0.453,87.523,2gxG1d0SZNpJHJFSQlE7Vm,216286,2
0.547,0.813,-6.425,0.314,0.0514,0.0,0.147,0.388,149.942,0j0gyIMlVkrpA98rGxyud8,166347,4
0.902,0.582,-5.902,0.109,0.111,3.18e-06,0.111,0.332,107.005,0wHFktze2PHC5jDt3B17DC,173948,2
0.702,0.82,-4.323,0.063,0.196,0.0,0.156,0.52,107.936,2KMJ5CoxY4ECG9TZyNWmpv,187126,2
0.636,0.876,-3.413,0.0555,0.00164,0.0,0.117,0.799,120.983,63WuQOXohQIxOxIFA2K7bR,148064,2
0.82,0.731,-7.89,0.274,0.38,0.0,0.152,0.503,134.023,0zr3HNmzcExUIP9DRYRSyM,188200,4
0.747,0.561,-9.152,0.333,0.225,0.0,0.05,0.501,77.523,0ydycUFcOIbYcL8ThrFM10,196987,4
0.517,0.851,-5.551,0.157,0.0125,0.0001,0.329,0.378,165.309,3GfekUqRs89wav4gyACmJy,158039,5
0.741,0.804,-5.885,0.29,0.715,0.0,0.172,0.567,140.007,1tnWfi3SLsgSO7BcP22DbJ,127685,4
0.635,0.647,-5.864,0.0366,0.192,0.0,0.154,0.201,104.058,6LtPIXlIzPOTF8vTecYjRe,262693,5
0.559,0.634,-6.218,0.477,0.301,0.000318,0.0837,0.29,154.877,4151t4alIElfFeqeJTchjm,154096,4
0.637,0.732,-6.209,0.0965,0.244,0.0,0.498,0.68,128.108,4b4c0oH7PtrPsI86drzgFs,198800,0
0.727,0.871,-5.156,0.178,0.411,2.09e-05,0.158,0.768,135.031,4Afzcx0nCkTbHjg2mLwOLV,119925,2
0.548,0.723,-6.002,0.0375,0.0969,1.28e-05,0.337,0.499,125.088,0CI422U7nhDLnk43s1BS1F,179960,5
0.605,0.816,-5.961,0.236,0.00519,0.0731,0.183,0.36,149.883,3rGrqBvabeB9BHXlVvxAeE,135712,5
0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,60a0Rd6pjrkxjPbaKzXjfq,216880,5
0.609,0.968,-4.395,0.401,0.000966,0.0549,0.421,0.402,144.947,5I9cYuXsqeKz107ChK2Bc9,132414,4
0.647,0.648,-4.98,0.131,0.0726,0.0,0.24,0.204,137.952,1eKWUllbcki5XZ5blDwoo6,149018,5
0.608,0.505,-8.263,0.0529,0.708,0.0,0.315,0.722,153.001,4JYzwT7WZqu7uL7GhxDSmz,148000,1
0.506,0.88,-4.711,0.0965,0.0115,0.0,0.0719,0.361,159.871,1dN8YYO1s6an0mb3MIWrox,177000,5
0.608,0.719,-5.657,0.0706,0.205,0.0,0.142,0.336,169.864,0QiC98xVWbpch5HaNG2nEd,135535,5
0.694,0.73,-6.133,0.0783,0.0593,0.000533,0.357,0.325,149.974,0Tl11xdNyfUQtUPyOi7nFn,185824,5
0.648,0.865,-3.386,0.0335,0.0898,7.23e-06,0.297,0.587,121.98,2oGzHeApGhjANPNWYQNRQw,129479,2
0.547,0.603,-6.593,0.0276,0.264,0.000349,0.127,0.395,172.162,3MJK34XfIALkJIruHaJEpC,242827,5
0.72,0.83,-5.065,0.0954,0.0957,0.0,0.122,0.342,124.042,464F2a58LTaitVUFKvEm1J,160843,5
0.746,0.7,-6.42,0.109,0.0427,0.00146,0.552,0.687,133.044,3a0F2N6rXJSibQTp77xH4f,155137,0
0.846,0.701,-10.036,0.255,0.131,0.448,0.119,0.795,140.004,5BiypsiapBLRQELkSFBby2,148152,4
0.668,0.923,-5.287,0.083,0.174,0.0583,0.0516,0.326,174.996,7uO2HKUKcuH6honJsaUEUS,163267,5
0.674,0.69,-6.258,0.181,0.741,0.0,0.132,0.492,175.984,0J4ee9wYcPgAwOrtchXVEa,144886,2
0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,503OTo2dSqe7qk76rgsbep,270587,4
0.614,0.838,-6.467,0.0423,0.00913,1.42e-06,0.0835,0.49,139.955,0oIVNEkOgvOU9yG9oW13xC,317827,5
0.89,0.521,-7.048,0.169,0.078,0.0,0.0958,0.646,139.981,6yeZM8gyykjaf8w0GqRfK4,131893,2
0.912,0.774,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,10xV5l9nhLvFpR8mqzs0bL,155589,2
0.663,0.559,-12.876,0.0391,0.136,0.0894,0.108,0.296,145.007,4tRhRLBxIZ34Iw0eCuiC03,206385,5
0.621,0.825,-7.548,0.223,0.391,2.63e-06,0.152,0.479,150.059,0QqboZaqUZSjdQnZWwd2iS,182400,4
0.706,0.722,-7.446,0.038,0.0473,0.0,0.65,0.584,130.015,1RUp6d887zj0N9CrTwYb1j,150465,0
0.667,0.849,-4.4,0.124,0.165,4.8e-05,0.107,0.752,155.002,5qEGAHerczFt3HmL9lhh4j,158080,2
0.873,0.583,-5.918,0.328,0.0483,2.74e-06,0.117,0.758,159.974,3iATVzRm0E8scMQ7aWoAmh,159901,4
0.74,0.766,-2.939,0.178,0.116,0.0,0.0406,0.807,170.531,7FDV5ELOJHCGLe52AnttEd,235133,2
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238,5
0.49,0.834,-5.18,0.303,0.116,0.0,0.0958,0.345,129.59,0BbXvSdwgIqXdz0PIol1w7,169427,4
0.735,0.662,-8.024,0.0408,0.175,2.04e-06,0.0959,0.687,121.925,4GyG53nBdaEvSEn9o8roA2,211373,2
0.719,0.512,-6.306,0.0358,0.256,0.0,0.0913,0.432,94.918,07e3xDbcDMNF69X8DPaq6q,178800,1
0.681,0.921,-5.631,0.308,0.243,3.41e-06,0.113,0.62,150.029,3sYj6lBhmwGnkqOL8OghAp,116977,4
0.594,0.748,-7.286,0.0879,0.0836,0.000286,0.327,0.877,175.938,5Ll0JNNVo0vuQnUGdRfUst,111818,2
0.653,0.476,-8.185,0.169,0.308,0.0,0.216,0.421,148.008,4RgrQ5jGalu6FWsy6WbfDM,164198,5
0.669,0.452,-12.112,0.231,0.42,0.291,0.0999,0.106,165.035,0fmbjLzenF8z20WN0QPSXl,208000,1
0.669,0.873,-6.767,0.179,0.0405,0.00181,0.252,0.442,142.081,5fQllnHCmwjhmhnpFAcknW,133944,2
0.452,0.628,-14.86,0.445,0.221,0.0,0.12,0.359,90.632,43cTBSgL0p3JfAqVwk3SBR,215327,4
0.616,0.841,-4.779,0.076,0.0559,0.00217,0.417,0.714,110.029,5YdnOm5990Kfq1Jodws98B,154561,2
0.669,0.742,-3.518,0.0441,0.296,0.0,0.355,0.716,101.982,5uSFGgIfHMT3osrAd9n9ym,203472,2
0.817,0.784,-4.971,0.0463,0.119,0.0,0.13,0.537,131.995,6kvW6EI5UuqCmlp7L7HD9O,173423,2
0.663,0.934,-1.9,0.138,0.00682,0.0,0.195,0.614,139.87,0R3QYRCLL1UryJhxXQM07e,213746,2
0.754,0.885,-5.926,0.232,0.102,0.00316,0.236,0.701,149.959,3EJRsDYQdoBW8S2uj6EhQq,122082,2
0.68,0.951,-4.8,0.351,0.36,0.0,0.15,0.536,169.985,0tX6EyR66n9L43gShfXsEy,157221,4
0.59,0.732,-4.605,0.0713,0.286,0.0,0.124,0.457,89.969,6HUWZBldbQhzvBMqaNkNYM,122667,5
0.768,0.782,-5.545,0.141,0.0545,0.0,0.338,0.842,116.492,1MFD6gdVDjFFMM8ItH9ZhI,220319,2
0.67,0.498,-8.236,0.332,0.722,0.0,0.116,0.355,81.914,7y2CanQNBGTd7EVJy80hLC,192507,4
0.772,0.61,-8.644,0.28,0.752,3.21e-05,0.115,0.827,95.981,3azoHmJmvLD2AVR1m0gasI,186750,4
0.451,0.692,-4.741,0.0398,0.287,0.0,0.115,0.423,174.122,2uZWffKoemZDI0gHcBEcDc,207069,5
0.861,0.623,-8.353,0.0752,0.096,0.00341,0.0924,0.574,122.998,62KwUuB16yd6stRtZVVTz0,195745,2
0.704,0.318,-7.806,0.0425,0.301,0.0,0.17,0.24,139.924,3iBU3w9MbrqFdB9mOa2JeK,195925,1
0.903,0.719,-8.054,0.052,0.514,7.67e-05,0.743,0.639,118.036,4YxZQd3I4rj1nqkXgvpCk4,230829,0
0.837,0.875,-4.682,0.182,0.121,0.0,0.29,0.84,140.051,0an0ND3xIrzMkCyZjIMuSF,143480,2
0.919,0.439,-5.566,0.0739,0.0935,0.000211,0.155,0.329,125.033,5s1EwpwmgQJ8Ti3ltrJdO8,171069,2
0.391,0.396,-8.621,0.189,0.702,0.405,0.315,0.199,99.112,7MiZjKawmXTsTNePyTfPyL,131272,1
0.654,0.667,-6.27,0.264,0.195,0.0,0.424,0.738,145.867,76SBSmc38qQQSpkgBenb8U,166447,4
0.674,0.885,-5.556,0.0655,0.0174,4.08e-06,0.101,0.271,140.07,27k0SV13hEsLdssYVY9amk,151467,5
0.697,0.799,-8.451,0.0623,0.158,0.0096,0.273,0.676,139.974,4LHsnclZN8akLg6iaxu4mW,134357,2
0.543,0.777,-5.772,0.0837,0.0965,0.0089,0.161,0.445,126.0,0cHkeSotcFG5tExiaqutKr,256613,5
0.637,0.715,-4.971,0.0455,0.148,0.0,0.0892,0.308,141.872,38T0tPVZHcPZyhtOcCP7pF,210576,5
0.767,0.716,-7.15,0.0432,0.0525,5.66e-06,0.111,0.341,143.063,6edGltzZQyfQjvvbOfDeL6,162748,5
0.88,0.724,-4.047,0.0758,0.218,0.00099,0.301,0.444,100.982,4lgP6VX9RwEkV2UG6Aeway,257234,2
0.764,0.706,-8.923,0.0346,0.00674,1.21e-05,0.165,0.49,117.984,7s7fQAOrqVEI65zEuPYyEQ,197293,2
0.659,0.742,-6.67,0.163,0.0201,0.0,0.0535,0.764,169.949,3OD9Zm6KzjeqUEtJLxMMcV,186353,2
0.797,0.662,-5.664,0.166,0.156,0.0,0.159,0.699,92.007,1kouzhwaBEwmTfMahAZufo,172147,2
0.809,0.583,-8.847,0.145,0.0371,0.0,0.368,0.49,80.022,7egdydsliuzDFWORdBiKMr,109884,2
0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,6sCvvleqKbeyOkQDieBYgp,196520,1
